"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ddr1",0.160493360015751,0.713893884581924,0.089,0.065,1
"Psmd5",0.160515207542837,0.563913081830367,0.071,0.048,1
"Slc30a4",0.160519643058399,1.29564676932028,0.028,0.014,1
"Elmo3",0.160661039056268,0.994144322762355,0.037,0.022,1
"Vps13d",0.160898683876255,0.313165211811157,0.194,0.159,1
"Ints9",0.161217490766503,0.149254287346759,0.082,0.058,1
"Gpcpd1",0.161399059461931,0.288407677439266,0.177,0.142,1
"Glis2",0.161614336038183,0.441864022996744,0.101,0.075,1
"Zfp760",0.16163649027309,0.793104070057075,0.028,0.014,1
"Mrpl48",0.16184283033553,0.296004228114923,0.056,0.036,1
"Etfrf1",0.161855085843568,1.56730249937225,0.037,0.022,1
"A730049H05Rik",0.161916616654661,0.845253232378987,0.028,0.014,1
"Ube2o",0.161916616654661,0.457287757706319,0.028,0.014,1
"Glg1",0.16221449955694,0.508461192140282,0.149,0.118,1
"Drg2",0.162334575839831,0.61962165543152,0.037,0.022,1
"Afm",0.162485209362052,0.235509834412946,0.088,0.063,1
"Fbxl15",0.162574722411112,0.776891197765679,0.037,0.022,1
"Park7",0.162975615054108,0.165342265844889,0.171,0.137,1
"Dhx32",0.163040787516924,0.917330652426056,0.028,0.014,1
"Cyth2",0.163344651085086,0.538244555038228,0.052,0.034,1
"Arhgap9",0.163537989246418,0.978764476433345,0.037,0.022,1
"Ubr7",0.16402123302603,0.971249426546991,0.037,0.022,1
"Igf2bp3",0.164132721886795,0.142766699412478,0.13,0.099,1
"Anxa11",0.164196333310067,0.218176605658312,0.114,0.084,1
"Tamm41",0.164330998267858,0.330660899114335,0.047,0.029,1
"Mapk1",0.164353232166036,0.523859200164631,0.125,0.096,1
"Accs",0.16445426557366,0.226537998035381,0.028,0.014,1
"Snx13",0.164524903700331,0.341169082814625,0.127,0.099,1
"1700084E18Rik",0.164590317914728,0.140113047363443,0.006,0.014,1
"Srpr",0.164877651564417,0.936203257118498,0.073,0.051,1
"Hs6st1",0.164943959468822,0.291030783563313,0.093,0.067,1
"Ubxn6",0.164978058074027,0.973890522875693,0.047,0.029,1
"Clptm1",0.165157403390645,0.272132566910757,0.099,0.072,1
"Zfp40",0.165168153116989,1.24677210480801,0.052,0.034,1
"Litaf",0.165194170367405,0.542472115867858,0.047,0.029,1
"Csrnp3",0.165234048641857,0.573169354441734,0.037,0.022,1
"Abca1",0.16555830626777,0.110771050879079,0.061,0.041,1
"Acot4",0.165575446166709,0.988821371735068,0.052,0.034,1
"Ep400",0.165880113021895,0.463151638073483,0.114,0.087,1
"Gcsh",0.166209151260823,0.288694488858278,0.037,0.022,1
"Usp40",0.166824676015906,0.518558417146609,0.149,0.118,1
"Acbd4",0.167188922607675,0.330681850649363,0.095,0.07,1
"Rprd1a",0.167349583044313,0.329063843398165,0.089,0.065,1
"2210408I21Rik",0.167422036765996,0.595212715943483,0.142,0.111,1
"Osbpl10",0.167682364714658,0.139515631028051,0.084,0.06,1
"Eif4e",0.167740056196501,0.355997702076553,0.088,0.063,1
"Map1s",0.168406727961357,1.59492040324005,0.024,0.012,1
"Zfp462",0.168420183413875,0.746341976325264,0.097,0.072,1
"Tm9sf3",0.168459442832044,0.714895314427157,0.106,0.082,1
"Mob2",0.168511903296884,0.589817143015409,0.073,0.051,1
"Cbll1",0.168665832776584,0.610543390280212,0.037,0.022,1
"Slc3a2",0.168884556398353,0.311414311026176,0.164,0.133,1
"Tmed1",0.168912991794812,0.165988547586621,0.037,0.022,1
"Pon2",0.169151716321598,0.436442559617379,0.061,0.041,1
"Parp3",0.169160422444653,0.770413020225104,0.037,0.022,1
"Cdk13",0.169230924517709,0.146793381710591,0.156,0.123,1
"Sntb2",0.169262803047558,0.239804365461315,0.16,0.128,1
"Tpp1",0.169414413746264,0.304530298141546,0.099,0.072,1
"Fam229b",0.169655647755828,1.87837610119736,0.024,0.012,1
"AU041133",0.169655647755828,1.33351218065411,0.024,0.012,1
"Nr2c2ap",0.17000167094937,0.922894667265215,0.052,0.034,1
"Rpf1",0.170282705906906,0.568445559375986,0.024,0.012,1
"Arl6ip4",0.170368166330896,0.254888003181838,0.084,0.06,1
"Atg3",0.170540249893405,0.313870180751006,0.106,0.08,1
"Impad1",0.170596885531109,1.48339881008929,0.024,0.012,1
"Zdhhc4",0.170650718468665,0.414259613255008,0.037,0.022,1
"Dcaf12",0.170720006910415,0.365014733576471,0.086,0.063,1
"Vegfc",0.170911499228427,1.64788012378105,0.024,0.012,1
"Mtfr1",0.170996650064196,0.872105229577219,0.058,0.039,1
"Ctsf",0.171451185404868,0.466718283229548,0.061,0.041,1
"Gm11659",0.171542029961454,1.29651444751298,0.024,0.012,1
"Platr25",0.171857947555446,1.39316929423405,0.024,0.012,1
"Cetn3",0.172068485566724,0.676917586782544,0.043,0.027,1
"Arap2",0.172143321514274,1.17498061502775,0.08,0.058,1
"Eps8l2",0.172240549397082,0.138924807122806,0.214,0.178,1
