"Gene","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"CD300A",3.48227393795338e-09,0.735901185092217,0.385,0.222,7.90789588569832e-05
"MGST3",7.44285525745801e-07,0.735752591260573,0.375,0.255,0.0169019800041614
"RPS27L",3.48754805396711e-09,0.734807604925239,0.497,0.346,7.9198728757539e-05
"BICD2",2.60148977367734e-09,0.733970911294442,0.47,0.314,5.90772312704388e-05
"HLA-DQB1",3.06694124541896e-15,0.733791345566343,0.589,0.343,6.96471687422192e-11
"AOAH",5.08096349356594e-08,0.733396279810111,0.385,0.243,0.00115383599975389
"AGO4",6.81277533590801e-05,0.733150866315971,0.263,0.172,1
"NCOA4",2.1449356000456e-15,0.729446042923571,0.664,0.472,4.87093425414355e-11
"HLA-DPB1",1.2847322619356e-24,0.729043716929563,0.806,0.584,2.91749849362955e-20
"PSMA4",1.44292342794865e-11,0.726542849369307,0.562,0.397,3.2767348125286e-07
"AMICA1",2.04384154685954e-07,0.726512779180689,0.306,0.176,0.00464135976876332
"MICU1",5.5748443588981e-06,0.7254731193227,0.26,0.157,0.126599140546217
"DRAP1",8.04791001035851e-12,0.72432725655726,0.592,0.432,1.82759988425231e-07
"HIGD2A",1.49260401051956e-12,0.723928513217866,0.625,0.469,3.38955444748886e-08
"CHCHD10",6.38335620256138e-08,0.722877262053811,0.401,0.26,0.00144959636003966
"DENND3",5.28546758352923e-07,0.722001341480465,0.336,0.212,0.0120027683354365
"RFX1",7.28480032674581e-05,0.721981270504072,0.25,0.161,1
"MYO9B",4.2445918959383e-12,0.719881455498083,0.582,0.397,9.63904373648628e-08
"MMP24-AS1",1.00036966305403e-06,0.719434074287714,0.342,0.219,0.022717394678294
"GNAI2",1.24421488984993e-87,0.71814356710718,0.99,0.891,2.8254875933602e-83
"WAC-AS1",5.90506919526165e-06,0.717791347756763,0.309,0.199,0.134098216355197
"S100A10",3.24590541359652e-15,0.717737329887739,0.688,0.536,7.37112660373634e-11
"ARHGAP1",1.5825570665438e-06,0.7159076377326,0.401,0.29,0.0359382884241431
"PSMC4",3.72031725387696e-06,0.715454416038872,0.332,0.216,0.084484684518292
"NDUFV3",2.95028225259459e-05,0.711228183684806,0.26,0.164,0.669979596741706
"ITGB2",1.43277538952211e-56,0.711201246624686,0.974,0.784,3.25368963206576e-52
"CBL",2.88373701152412e-07,0.709536282255473,0.428,0.297,0.00654867837947012
"BAX",0.000128010389031618,0.70900855138865,0.257,0.169,1
"IFI35",1.09487649695464e-05,0.708168113831121,0.342,0.236,0.248635503693429
"NEAT1",1.82322832762763e-78,0.707634023161077,0.984,0.9,4.14036920920959e-74
"ARPC3",1.61955044251674e-31,0.707529265872129,0.859,0.681,3.67783709991126e-27
"ALDH2",8.02615741472818e-08,0.70692200772745,0.253,0.132,0.00182266008731062
"GNPTG",7.27884948038214e-07,0.706691803238723,0.395,0.268,0.0165295392849998
"KIAA1033",7.66725716183626e-11,0.703466415615969,0.53,0.358,1.7411574288814e-06
"RAB8A",6.85476437213242e-09,0.702825760275679,0.484,0.328,0.000155664844126755
"DUSP1",2.82920535546176e-28,0.702173093066701,0.845,0.632,6.42484244171811e-24
"ME2",5.39520004017063e-05,0.701538724787697,0.289,0.193,1
"ATP6AP2",2.58827848408957e-12,0.697218290500704,0.605,0.457,5.877721609519e-08
"HOOK3",1.5325363073438e-08,0.696130630049433,0.457,0.311,0.000348023670034703
"TLE4",4.54504517178784e-09,0.695609954543428,0.507,0.36,0.00010321343080613
